date,adjusted_close
2023-05-17,171.2023
2023-05-18,173.542
2023-05-19,173.6511
2023-05-22,172.6993
2023-05-23,170.0821
2023-05-24,170.3597
2023-05-25,171.4998
2023-05-26,173.9187
2023-05-30,175.7726
2023-05-31,175.7231
2023-06-01,178.5386
2023-06-02,179.3912
2023-06-05,178.033
2023-06-06,177.6662
2023-06-07,176.2881
2023-06-08,179.0145
2023-06-09,179.4011
2023-06-12,182.2067
2023-06-13,181.7308
2023-06-14,182.3653
2023-06-15,184.4076
2023-06-16,183.327
2023-06-20,183.4162
2023-06-21,182.3753
2023-06-22,185.3891
2023-06-23,185.0718
2023-06-26,183.674
2023-06-27,186.4399
2023-06-28,187.6197
2023-06-29,187.9567
2023-06-30,192.299
2023-07-03,190.802
2023-07-05,189.6818
2023-07-06,190.1576
2023-07-07,189.0374
2023-07-10,186.9852
2023-07-11,186.4598
2023-07-12,188.1352
2023-07-13,188.8986
2023-07-14,189.0473
2023-07-17,192.3188
2023-07-18,192.0611
2023-07-19,193.4193
2023-07-20,191.4663
2023-07-21,190.2865
2023-07-24,191.0895
2023-07-25,191.952
2023-07-26,192.8245
2023-07-27,191.5555
2023-07-28,194.143
2023-07-31,194.7577
2023-08-01,193.9249
2023-08-02,190.921
2023-08-03,189.5231
2023-08-04,180.4222
2023-08-07,177.3093
2023-08-08,178.2511
2023-08-09,176.655
2023-08-10,176.4369
2023-08-11,176.4964
2023-08-14,178.1543
2023-08-15,176.1589
2023-08-16,175.2853
2023-08-17,172.734
2023-08-18,173.2204
2023-08-21,174.5606
2023-08-22,175.9405
2023-08-23,179.8022
2023-08-24,175.0967
2023-08-25,177.3104
2023-08-28,178.879
2023-08-29,182.7804
2023-08-30,186.2847
2023-08-31,186.5031
2023-09-01,188.0815
2023-09-05,188.3198
2023-09-06,181.5792
2023-09-07,176.2681
2023-09-08,176.8836
2023-09-11,178.055
2023-09-12,175.0173
2023-09-13,172.9425
2023-09-14,174.4613
2023-09-15,173.7366
2023-09-18,176.6751
2023-09-19,177.7671
2023-09-20,174.2132
2023-09-21,172.6645
2023-09-22,173.5182
2023-09-25,174.7989
2023-09-26,170.7088
2023-09-27,169.19
2023-09-28,169.4481
2023-09-29,169.9643
2023-10-02,172.4858
2023-10-03,171.1456
2023-10-04,172.3965
2023-10-05,173.6374
2023-10-06,176.1986
2023-10-09,177.6877
2023-10-10,177.092
2023-10-11,178.4918
2023-10-12,179.3952
2023-10-13,177.5487
2023-10-16,177.4196
2023-10-17,175.8611
2023-10-18,174.5606
2023-10-19,174.1834
2023-10-20,171.6221
2023-10-23,171.7413
2023-10-24,172.1781
2023-10-25,169.8551
2023-10-26,165.6757
2023-10-27,166.996
2023-10-30,169.051
2023-10-31,169.5275
2023-11-01,172.7042
2023-11-02,176.278
2023-11-03,175.3647
2023-11-06,177.9259
2023-11-07,180.4971
